Epoch, Loss
1, 2.8783e-01
2, 2.5011e-01
3, 2.0370e-01
4, 2.5833e-01
5, 2.5310e-01
6, 2.3175e-01
7, 2.8272e-01
8, 2.3653e-01
9, 2.5649e-01
10, 2.7852e-01
11, 2.4677e-01
12, 3.0512e-01
13, 2.7423e-01
14, 2.7648e-01
15, 2.3652e-01
16, 2.5739e-01
17, 2.7749e-01
18, 2.5398e-01
19, 3.2440e-01
20, 3.2125e-01
21, 2.2189e-01
22, 2.7007e-01
23, 2.6435e-01
24, 2.6667e-01
25, 2.4875e-01
26, 2.2390e-01
27, 2.4185e-01
28, 2.5589e-01
29, 2.6376e-01
30, 2.5671e-01
31, 3.1331e-01
32, 2.0152e-01
33, 2.7683e-01
34, 3.3215e-01
35, 2.5364e-01
36, 2.9555e-01
37, 2.5060e-01
38, 2.1144e-01
39, 2.2361e-01
40, 2.3956e-01
41, 2.6013e-01
42, 2.9544e-01
43, 2.9463e-01
44, 2.6422e-01
45, 2.6894e-01
46, 2.3277e-01
47, 2.5089e-01
48, 2.1805e-01
49, 2.2701e-01
50, 2.7236e-01
51, 2.1937e-01
52, 2.8799e-01
53, 2.2210e-01
54, 2.4267e-01
55, 2.1032e-01
56, 2.5874e-01
57, 2.7387e-01
58, 2.4051e-01
59, 2.0873e-01
60, 2.4961e-01
61, 2.3909e-01
62, 2.7131e-01
63, 2.8259e-01
64, 2.4457e-01
65, 2.7113e-01
66, 2.3113e-01
67, 2.5759e-01
68, 2.5352e-01
69, 2.3805e-01
70, 2.8750e-01
71, 2.9386e-01
72, 2.3174e-01
73, 2.4923e-01
74, 2.6904e-01
75, 2.5961e-01
76, 2.8208e-01
77, 2.7641e-01
78, 2.8216e-01
79, 2.5569e-01
80, 2.6914e-01
81, 2.4674e-01
82, 2.6917e-01
83, 2.2436e-01
84, 2.6375e-01
85, 2.4815e-01
86, 2.7540e-01
87, 2.1094e-01
88, 2.5518e-01
89, 2.2626e-01
90, 1.9150e-01
91, 2.8556e-01
92, 2.6878e-01
93, 2.3546e-01
94, 2.2434e-01
95, 2.2181e-01
96, 2.1901e-01
97, 3.2171e-01
98, 1.9518e-01
99, 2.2923e-01
100, 2.0621e-01
101, 2.6012e-01
102, 2.7108e-01
103, 2.3881e-01
104, 2.2545e-01
105, 2.4996e-01
106, 2.4325e-01
107, 2.4684e-01
108, 2.1324e-01
109, 2.4377e-01
110, 2.1520e-01
111, 2.3426e-01
112, 2.7026e-01
113, 2.2633e-01
114, 2.5055e-01
115, 2.9109e-01
116, 2.5042e-01
117, 2.4573e-01
118, 2.3476e-01
119, 2.2599e-01
120, 2.9507e-01
121, 2.3417e-01
122, 2.6181e-01
123, 2.7784e-01
124, 2.4133e-01
125, 2.5960e-01
126, 2.3004e-01
127, 2.3633e-01
128, 1.8780e-01
129, 2.2321e-01
130, 2.0474e-01
131, 2.1243e-01
132, 2.0816e-01
133, 2.7219e-01
134, 2.1361e-01
135, 2.8777e-01
136, 2.4429e-01
137, 2.4755e-01
138, 2.8824e-01
139, 2.6374e-01
140, 2.6570e-01
141, 2.1476e-01
142, 2.1860e-01
143, 2.2291e-01
144, 2.1902e-01
145, 2.1924e-01
146, 2.2315e-01
147, 2.7501e-01
148, 2.3898e-01
149, 2.3308e-01
150, 2.3526e-01
151, 2.5038e-01
